"FocalAge","TargetAge","Value","policy"
4,4,5.02919672068474,"W2-S1-N1-E1-M2"
4,5,1.12202438023228,"W2-S1-N1-E1-M2"
4,6,0.695764726380907,"W2-S1-N1-E1-M2"
5,1,0.206171449103483,"W2-S1-N1-E1-M2"
5,2,7.2257210384853,"W2-S1-N1-E1-M2"
5,3,2.1570953613881,"W2-S1-N1-E1-M2"
5,4,1.95014138205159,"W2-S1-N1-E1-M2"
5,5,2.56242203668588,"W2-S1-N1-E1-M2"
5,6,0.863801192946266,"W2-S1-N1-E1-M2"
6,1,0.162830779427704,"W2-S1-N1-E1-M2"
6,2,6.94010083139336,"W2-S1-N1-E1-M2"
6,3,2.17033678839151,"W2-S1-N1-E1-M2"
6,4,1.86928595885498,"W2-S1-N1-E1-M2"
6,5,1.33239002196983,"W2-S1-N1-E1-M2"
6,6,2.09630486723036,"W2-S1-N1-E1-M2"
1,1,2.31355646281901,"W3-S1-N1-E1-M2"
1,2,2.08755445856593,"W3-S1-N1-E1-M2"
1,3,0.305380017579678,"W3-S1-N1-E1-M2"
1,4,0.138260492928546,"W3-S1-N1-E1-M2"
1,5,0.0690573231268968,"W3-S1-N1-E1-M2"
1,6,0.0358849278468222,"W3-S1-N1-E1-M2"
2,1,0.854418148301612,"W3-S1-N1-E1-M2"
2,2,36.2325001782324,"W3-S1-N1-E1-M2"
2,3,11.5465800442205,"W3-S1-N1-E1-M2"
2,4,4.53172523638826,"W3-S1-N1-E1-M2"
2,5,0.879257086026847,"W3-S1-N1-E1-M2"
2,6,0.544617198622159,"W3-S1-N1-E1-M2"
3,1,0.425967758654605,"W3-S1-N1-E1-M2"
3,2,37.5359164280004,"W3-S1-N1-E1-M2"
3,3,14.5115115673499,"W3-S1-N1-E1-M2"
3,4,4.99778351114605,"W3-S1-N1-E1-M2"
3,5,0.887158200002726,"W3-S1-N1-E1-M2"
3,6,0.577983920067008,"W3-S1-N1-E1-M2"
4,1,0.242377135931635,"W3-S1-N1-E1-M2"
4,2,20.4006559304059,"W3-S1-N1-E1-M2"
4,3,6.80963830957151,"W3-S1-N1-E1-M2"
4,4,5.02919672068474,"W3-S1-N1-E1-M2"
4,5,1.12202438023228,"W3-S1-N1-E1-M2"
4,6,0.695764726380907,"W3-S1-N1-E1-M2"
5,1,0.206171449103483,"W3-S1-N1-E1-M2"
5,2,7.2257210384853,"W3-S1-N1-E1-M2"
5,3,2.1570953613881,"W3-S1-N1-E1-M2"
5,4,1.95014138205159,"W3-S1-N1-E1-M2"
5,5,2.56242203668588,"W3-S1-N1-E1-M2"
5,6,0.863801192946266,"W3-S1-N1-E1-M2"
6,1,0.162830779427704,"W3-S1-N1-E1-M2"
6,2,6.94010083139336,"W3-S1-N1-E1-M2"
6,3,2.17033678839151,"W3-S1-N1-E1-M2"
6,4,1.86928595885498,"W3-S1-N1-E1-M2"
6,5,1.33239002196983,"W3-S1-N1-E1-M2"
6,6,2.09630486723036,"W3-S1-N1-E1-M2"
1,1,2.31379637873026,"W4-S1-N1-E1-M2"
1,2,2.13182465629802,"W4-S1-N1-E1-M2"
1,3,0.318326908398139,"W4-S1-N1-E1-M2"
1,4,0.138260492928546,"W4-S1-N1-E1-M2"
1,5,0.0690573231268968,"W4-S1-N1-E1-M2"
1,6,0.0358849278468222,"W4-S1-N1-E1-M2"
2,1,0.912850228216137,"W4-S1-N1-E1-M2"
2,2,58.2085185123814,"W4-S1-N1-E1-M2"
2,3,18.2721129115801,"W4-S1-N1-E1-M2"
2,4,4.53172523638826,"W4-S1-N1-E1-M2"
2,5,0.879257086026847,"W4-S1-N1-E1-M2"
2,6,0.544617198622159,"W4-S1-N1-E1-M2"
3,1,0.476318330764234,"W4-S1-N1-E1-M2"
3,2,58.5145000506744,"W4-S1-N1-E1-M2"
3,3,20.759047829047,"W4-S1-N1-E1-M2"
3,4,4.99778351114605,"W4-S1-N1-E1-M2"
3,5,0.887158200002726,"W4-S1-N1-E1-M2"
3,6,0.577983920067008,"W4-S1-N1-E1-M2"
4,1,0.242377135931635,"W4-S1-N1-E1-M2"
4,2,20.4006559304059,"W4-S1-N1-E1-M2"
4,3,6.80963830957151,"W4-S1-N1-E1-M2"
4,4,5.02919672068474,"W4-S1-N1-E1-M2"
4,5,1.12202438023228,"W4-S1-N1-E1-M2"
4,6,0.695764726380907,"W4-S1-N1-E1-M2"
5,1,0.206171449103483,"W4-S1-N1-E1-M2"
5,2,7.2257210384853,"W4-S1-N1-E1-M2"
5,3,2.1570953613881,"W4-S1-N1-E1-M2"
5,4,1.95014138205159,"W4-S1-N1-E1-M2"
5,5,2.56242203668588,"W4-S1-N1-E1-M2"
5,6,0.863801192946266,"W4-S1-N1-E1-M2"
6,1,0.162830779427704,"W4-S1-N1-E1-M2"
6,2,6.94010083139336,"W4-S1-N1-E1-M2"
6,3,2.17033678839151,"W4-S1-N1-E1-M2"
6,4,1.86928595885498,"W4-S1-N1-E1-M2"
6,5,1.33239002196983,"W4-S1-N1-E1-M2"
6,6,2.09630486723036,"W4-S1-N1-E1-M2"
1,1,17.4073386127758,"W1-S2-N1-E1-M2"
1,2,2.32318330804135,"W1-S2-N1-E1-M2"
1,3,0.301064387306857,"W1-S2-N1-E1-M2"
1,4,0.138260492928546,"W1-S2-N1-E1-M2"
1,5,0.0690573231268968,"W1-S2-N1-E1-M2"
1,6,0.0358849278468222,"W1-S2-N1-E1-M2"
2,1,0.936661684645427,"W1-S2-N1-E1-M2"
2,2,29.3528055522213,"W1-S2-N1-E1-M2"
2,3,9.30473575510067,"W1-S2-N1-E1-M2"
2,4,4.53172523638826,"W1-S2-N1-E1-M2"
2,5,0.879257086026847,"W1-S2-N1-E1-M2"
2,6,0.544617198622159,"W1-S2-N1-E1-M2"
3,1,0.409184234618061,"W1-S2-N1-E1-M2"
3,2,30.5430552204424,"W1-S2-N1-E1-M2"
3,3,11.8662847684766,"W1-S2-N1-E1-M2"
3,4,4.99778351114605,"W1-S2-N1-E1-M2"
3,5,0.887158200002726,"W1-S2-N1-E1-M2"
3,6,0.577983920067008,"W1-S2-N1-E1-M2"
4,1,0.242377135931635,"W1-S2-N1-E1-M2"
4,2,20.4006559304059,"W1-S2-N1-E1-M2"
4,3,6.80963830957151,"W1-S2-N1-E1-M2"
4,4,5.02919672068474,"W1-S2-N1-E1-M2"
4,5,1.12202438023228,"W1-S2-N1-E1-M2"
4,6,0.695764726380907,"W1-S2-N1-E1-M2"
5,1,0.206171449103483,"W1-S2-N1-E1-M2"
5,2,7.2257210384853,"W1-S2-N1-E1-M2"
5,3,2.1570953613881,"W1-S2-N1-E1-M2"
5,4,1.95014138205159,"W1-S2-N1-E1-M2"
5,5,2.56242203668588,"W1-S2-N1-E1-M2"
5,6,0.863801192946266,"W1-S2-N1-E1-M2"
6,1,0.162830779427704,"W1-S2-N1-E1-M2"
6,2,6.94010083139336,"W1-S2-N1-E1-M2"
6,3,2.17033678839151,"W1-S2-N1-E1-M2"
6,4,1.86928595885498,"W1-S2-N1-E1-M2"
6,5,1.33239002196983,"W1-S2-N1-E1-M2"
6,6,2.09630486723036,"W1-S2-N1-E1-M2"
1,1,17.4076052771866,"W2-S2-N1-E1-M2"
1,2,2.36555515453709,"W2-S2-N1-E1-M2"
1,3,0.313514178944282,"W2-S2-N1-E1-M2"
1,4,0.138260492928546,"W2-S2-N1-E1-M2"
1,5,0.0690573231268968,"W2-S2-N1-E1-M2"
1,6,0.0358849278468222,"W2-S2-N1-E1-M2"
2,1,0.995725968709352,"W2-S2-N1-E1-M2"
2,2,45.723188526738,"W2-S2-N1-E1-M2"
2,3,14.3130343782856,"W2-S2-N1-E1-M2"
2,4,4.53172523638826,"W2-S2-N1-E1-M2"
2,5,0.879257086026847,"W2-S2-N1-E1-M2"
2,6,0.544617198622159,"W2-S2-N1-E1-M2"
3,1,0.460162220777648,"W2-S2-N1-E1-M2"
3,2,46.2011053624539,"W2-S2-N1-E1-M2"
3,3,16.8846294027655,"W2-S2-N1-E1-M2"
3,4,4.99778351114605,"W2-S2-N1-E1-M2"
3,5,0.887158200002726,"W2-S2-N1-E1-M2"
3,6,0.577983920067008,"W2-S2-N1-E1-M2"
4,1,0.242377135931635,"W2-S2-N1-E1-M2"
4,2,20.4006559304059,"W2-S2-N1-E1-M2"
4,3,6.80963830957151,"W2-S2-N1-E1-M2"
4,4,5.02919672068474,"W2-S2-N1-E1-M2"
4,5,1.12202438023228,"W2-S2-N1-E1-M2"
4,6,0.695764726380907,"W2-S2-N1-E1-M2"
5,1,0.206171449103483,"W2-S2-N1-E1-M2"
5,2,7.2257210384853,"W2-S2-N1-E1-M2"
5,3,2.1570953613881,"W2-S2-N1-E1-M2"
5,4,1.95014138205159,"W2-S2-N1-E1-M2"
5,5,2.56242203668588,"W2-S2-N1-E1-M2"
5,6,0.863801192946266,"W2-S2-N1-E1-M2"
6,1,0.162830779427704,"W2-S2-N1-E1-M2"
6,2,6.94010083139336,"W2-S2-N1-E1-M2"
6,3,2.17033678839151,"W2-S2-N1-E1-M2"
6,4,1.86928595885498,"W2-S2-N1-E1-M2"
6,5,1.33239002196983,"W2-S2-N1-E1-M2"
6,6,2.09630486723036,"W2-S2-N1-E1-M2"
1,1,17.4074185847462,"W3-S2-N1-E1-M2"
1,2,2.33794004061871,"W3-S2-N1-E1-M2"
1,3,0.305380017579678,"W3-S2-N1-E1-M2"
1,4,0.138260492928546,"W3-S2-N1-E1-M2"
1,5,0.0690573231268968,"W3-S2-N1-E1-M2"
1,6,0.0358849278468222,"W3-S2-N1-E1-M2"
2,1,0.956139044616935,"W3-S2-N1-E1-M2"
2,2,36.6781449969377,"W3-S2-N1-E1-M2"
2,3,11.5465800442205,"W3-S2-N1-E1-M2"
2,4,4.53172523638826,"W3-S2-N1-E1-M2"
2,5,0.879257086026847,"W3-S2-N1-E1-M2"
2,6,0.544617198622159,"W3-S2-N1-E1-M2"
3,1,0.425967758654605,"W3-S2-N1-E1-M2"
3,2,37.5359164280004,"W3-S2-N1-E1-M2"
3,3,14.5115115673499,"W3-S2-N1-E1-M2"
3,4,4.99778351114605,"W3-S2-N1-E1-M2"
3,5,0.887158200002726,"W3-S2-N1-E1-M2"
3,6,0.577983920067008,"W3-S2-N1-E1-M2"
4,1,0.242377135931635,"W3-S2-N1-E1-M2"
4,2,20.4006559304059,"W3-S2-N1-E1-M2"
4,3,6.80963830957151,"W3-S2-N1-E1-M2"
4,4,5.02919672068474,"W3-S2-N1-E1-M2"
4,5,1.12202438023228,"W3-S2-N1-E1-M2"
4,6,0.695764726380907,"W3-S2-N1-E1-M2"
5,1,0.206171449103483,"W3-S2-N1-E1-M2"
5,2,7.2257210384853,"W3-S2-N1-E1-M2"
5,3,2.1570953613881,"W3-S2-N1-E1-M2"
5,4,1.95014138205159,"W3-S2-N1-E1-M2"
5,5,2.56242203668588,"W3-S2-N1-E1-M2"
5,6,0.863801192946266,"W3-S2-N1-E1-M2"
6,1,0.162830779427704,"W3-S2-N1-E1-M2"
6,2,6.94010083139336,"W3-S2-N1-E1-M2"
6,3,2.17033678839151,"W3-S2-N1-E1-M2"
6,4,1.86928595885498,"W3-S2-N1-E1-M2"
6,5,1.33239002196983,"W3-S2-N1-E1-M2"
6,6,2.09630486723036,"W3-S2-N1-E1-M2"
1,1,17.4076585006574,"W4-S2-N1-E1-M2"
1,2,2.38221023835081,"W4-S2-N1-E1-M2"
1,3,0.318326908398139,"W4-S2-N1-E1-M2"
1,4,0.138260492928546,"W4-S2-N1-E1-M2"
1,5,0.0690573231268968,"W4-S2-N1-E1-M2"
1,6,0.0358849278468222,"W4-S2-N1-E1-M2"
2,1,1.01457112453146,"W4-S2-N1-E1-M2"
2,2,58.6541633310866,"W4-S2-N1-E1-M2"
2,3,18.2721129115801,"W4-S2-N1-E1-M2"
2,4,4.53172523638826,"W4-S2-N1-E1-M2"
2,5,0.879257086026847,"W4-S2-N1-E1-M2"
2,6,0.544617198622159,"W4-S2-N1-E1-M2"
3,1,0.476318330764234,"W4-S2-N1-E1-M2"
3,2,58.5145000506744,"W4-S2-N1-E1-M2"
3,3,20.759047829047,"W4-S2-N1-E1-M2"
3,4,4.99778351114605,"W4-S2-N1-E1-M2"
3,5,0.887158200002726,"W4-S2-N1-E1-M2"
3,6,0.577983920067008,"W4-S2-N1-E1-M2"
4,1,0.242377135931635,"W4-S2-N1-E1-M2"
4,2,20.4006559304059,"W4-S2-N1-E1-M2"
4,3,6.80963830957151,"W4-S2-N1-E1-M2"
4,4,5.02919672068474,"W4-S2-N1-E1-M2"
4,5,1.12202438023228,"W4-S2-N1-E1-M2"
4,6,0.695764726380907,"W4-S2-N1-E1-M2"
5,1,0.206171449103483,"W4-S2-N1-E1-M2"
5,2,7.2257210384853,"W4-S2-N1-E1-M2"
5,3,2.1570953613881,"W4-S2-N1-E1-M2"
5,4,1.95014138205159,"W4-S2-N1-E1-M2"
5,5,2.56242203668588,"W4-S2-N1-E1-M2"
5,6,0.863801192946266,"W4-S2-N1-E1-M2"
6,1,0.162830779427704,"W4-S2-N1-E1-M2"
6,2,6.94010083139336,"W4-S2-N1-E1-M2"
6,3,2.17033678839151,"W4-S2-N1-E1-M2"
6,4,1.86928595885498,"W4-S2-N1-E1-M2"
6,5,1.33239002196983,"W4-S2-N1-E1-M2"
6,6,2.09630486723036,"W4-S2-N1-E1-M2"
1,1,62.6889249785573,"W1-S3-N1-E1-M2"
1,2,3.07434005419972,"W1-S3-N1-E1-M2"
1,3,0.301064387306857,"W1-S3-N1-E1-M2"
1,4,0.138260492928546,"W1-S3-N1-E1-M2"
1,5,0.0690573231268968,"W1-S3-N1-E1-M2"
1,6,0.0358849278468222,"W1-S3-N1-E1-M2"
2,1,1.24182437359139,"W1-S3-N1-E1-M2"
2,2,30.6897400083371,"W1-S3-N1-E1-M2"
2,3,9.30473575510067,"W1-S3-N1-E1-M2"
2,4,4.53172523638826,"W1-S3-N1-E1-M2"
2,5,0.879257086026847,"W1-S3-N1-E1-M2"
2,6,0.544617198622159,"W1-S3-N1-E1-M2"
3,1,0.409184234618061,"W1-S3-N1-E1-M2"
3,2,30.5430552204424,"W1-S3-N1-E1-M2"
3,3,11.8662847684766,"W1-S3-N1-E1-M2"
3,4,4.99778351114605,"W1-S3-N1-E1-M2"
3,5,0.887158200002726,"W1-S3-N1-E1-M2"
3,6,0.577983920067008,"W1-S3-N1-E1-M2"
4,1,0.242377135931635,"W1-S3-N1-E1-M2"
4,2,20.4006559304059,"W1-S3-N1-E1-M2"
4,3,6.80963830957151,"W1-S3-N1-E1-M2"
4,4,5.02919672068474,"W1-S3-N1-E1-M2"
4,5,1.12202438023228,"W1-S3-N1-E1-M2"
4,6,0.695764726380907,"W1-S3-N1-E1-M2"
5,1,0.206171449103483,"W1-S3-N1-E1-M2"
5,2,7.2257210384853,"W1-S3-N1-E1-M2"
5,3,2.1570953613881,"W1-S3-N1-E1-M2"
5,4,1.95014138205159,"W1-S3-N1-E1-M2"
5,5,2.56242203668588,"W1-S3-N1-E1-M2"
5,6,0.863801192946266,"W1-S3-N1-E1-M2"
6,1,0.162830779427704,"W1-S3-N1-E1-M2"
6,2,6.94010083139336,"W1-S3-N1-E1-M2"
6,3,2.17033678839151,"W1-S3-N1-E1-M2"
6,4,1.86928595885498,"W1-S3-N1-E1-M2"
6,5,1.33239002196983,"W1-S3-N1-E1-M2"
6,6,2.09630486723036,"W1-S3-N1-E1-M2"
1,1,62.6891916429681,"W2-S3-N1-E1-M2"
1,2,3.11671190069545,"W2-S3-N1-E1-M2"
1,3,0.313514178944282,"W2-S3-N1-E1-M2"
1,4,0.138260492928546,"W2-S3-N1-E1-M2"
1,5,0.0690573231268968,"W2-S3-N1-E1-M2"
1,6,0.0358849278468222,"W2-S3-N1-E1-M2"
2,1,1.30088865765532,"W2-S3-N1-E1-M2"
2,2,47.0601229828537,"W2-S3-N1-E1-M2"
2,3,14.3130343782856,"W2-S3-N1-E1-M2"
2,4,4.53172523638826,"W2-S3-N1-E1-M2"
2,5,0.879257086026847,"W2-S3-N1-E1-M2"
2,6,0.544617198622159,"W2-S3-N1-E1-M2"
3,1,0.460162220777648,"W2-S3-N1-E1-M2"
3,2,46.2011053624539,"W2-S3-N1-E1-M2"
3,3,16.8846294027655,"W2-S3-N1-E1-M2"
3,4,4.99778351114605,"W2-S3-N1-E1-M2"
3,5,0.887158200002726,"W2-S3-N1-E1-M2"
3,6,0.577983920067008,"W2-S3-N1-E1-M2"
4,1,0.242377135931635,"W2-S3-N1-E1-M2"
4,2,20.4006559304059,"W2-S3-N1-E1-M2"
4,3,6.80963830957151,"W2-S3-N1-E1-M2"
4,4,5.02919672068474,"W2-S3-N1-E1-M2"
4,5,1.12202438023228,"W2-S3-N1-E1-M2"
4,6,0.695764726380907,"W2-S3-N1-E1-M2"
5,1,0.206171449103483,"W2-S3-N1-E1-M2"
5,2,7.2257210384853,"W2-S3-N1-E1-M2"
5,3,2.1570953613881,"W2-S3-N1-E1-M2"
5,4,1.95014138205159,"W2-S3-N1-E1-M2"
5,5,2.56242203668588,"W2-S3-N1-E1-M2"
5,6,0.863801192946266,"W2-S3-N1-E1-M2"
6,1,0.162830779427704,"W2-S3-N1-E1-M2"
6,2,6.94010083139336,"W2-S3-N1-E1-M2"
6,3,2.17033678839151,"W2-S3-N1-E1-M2"
6,4,1.86928595885498,"W2-S3-N1-E1-M2"
6,5,1.33239002196983,"W2-S3-N1-E1-M2"
6,6,2.09630486723036,"W2-S3-N1-E1-M2"
1,1,62.6890049505277,"W3-S3-N1-E1-M2"
1,2,3.08909678677708,"W3-S3-N1-E1-M2"
1,3,0.305380017579678,"W3-S3-N1-E1-M2"
1,4,0.138260492928546,"W3-S3-N1-E1-M2"
1,5,0.0690573231268968,"W3-S3-N1-E1-M2"
1,6,0.0358849278468222,"W3-S3-N1-E1-M2"
2,1,1.2613017335629,"W3-S3-N1-E1-M2"
2,2,38.0150794530534,"W3-S3-N1-E1-M2"
2,3,11.5465800442205,"W3-S3-N1-E1-M2"
2,4,4.53172523638826,"W3-S3-N1-E1-M2"
2,5,0.879257086026847,"W3-S3-N1-E1-M2"
2,6,0.544617198622159,"W3-S3-N1-E1-M2"
3,1,0.425967758654605,"W3-S3-N1-E1-M2"
3,2,37.5359164280004,"W3-S3-N1-E1-M2"
3,3,14.5115115673499,"W3-S3-N1-E1-M2"
3,4,4.99778351114605,"W3-S3-N1-E1-M2"
3,5,0.887158200002726,"W3-S3-N1-E1-M2"
3,6,0.577983920067008,"W3-S3-N1-E1-M2"
4,1,0.242377135931635,"W3-S3-N1-E1-M2"
4,2,20.4006559304059,"W3-S3-N1-E1-M2"
4,3,6.80963830957151,"W3-S3-N1-E1-M2"
4,4,5.02919672068474,"W3-S3-N1-E1-M2"
4,5,1.12202438023228,"W3-S3-N1-E1-M2"
4,6,0.695764726380907,"W3-S3-N1-E1-M2"
5,1,0.206171449103483,"W3-S3-N1-E1-M2"
5,2,7.2257210384853,"W3-S3-N1-E1-M2"
5,3,2.1570953613881,"W3-S3-N1-E1-M2"
5,4,1.95014138205159,"W3-S3-N1-E1-M2"
5,5,2.56242203668588,"W3-S3-N1-E1-M2"
5,6,0.863801192946266,"W3-S3-N1-E1-M2"
6,1,0.162830779427704,"W3-S3-N1-E1-M2"
6,2,6.94010083139336,"W3-S3-N1-E1-M2"
6,3,2.17033678839151,"W3-S3-N1-E1-M2"
6,4,1.86928595885498,"W3-S3-N1-E1-M2"
6,5,1.33239002196983,"W3-S3-N1-E1-M2"
6,6,2.09630486723036,"W3-S3-N1-E1-M2"
1,1,62.689244866439,"W4-S3-N1-E1-M2"
1,2,3.13336698450917,"W4-S3-N1-E1-M2"
1,3,0.318326908398139,"W4-S3-N1-E1-M2"
1,4,0.138260492928546,"W4-S3-N1-E1-M2"
1,5,0.0690573231268968,"W4-S3-N1-E1-M2"
1,6,0.0358849278468222,"W4-S3-N1-E1-M2"
2,1,1.31973381347743,"W4-S3-N1-E1-M2"
2,2,59.9910977872023,"W4-S3-N1-E1-M2"
2,3,18.2721129115801,"W4-S3-N1-E1-M2"
2,4,4.53172523638826,"W4-S3-N1-E1-M2"
2,5,0.879257086026847,"W4-S3-N1-E1-M2"
2,6,0.544617198622159,"W4-S3-N1-E1-M2"
3,1,0.476318330764234,"W4-S3-N1-E1-M2"
3,2,58.5145000506744,"W4-S3-N1-E1-M2"
3,3,20.759047829047,"W4-S3-N1-E1-M2"
3,4,4.99778351114605,"W4-S3-N1-E1-M2"
3,5,0.887158200002726,"W4-S3-N1-E1-M2"
3,6,0.577983920067008,"W4-S3-N1-E1-M2"
4,1,0.242377135931635,"W4-S3-N1-E1-M2"
4,2,20.4006559304059,"W4-S3-N1-E1-M2"
4,3,6.80963830957151,"W4-S3-N1-E1-M2"
4,4,5.02919672068474,"W4-S3-N1-E1-M2"
4,5,1.12202438023228,"W4-S3-N1-E1-M2"
4,6,0.695764726380907,"W4-S3-N1-E1-M2"
5,1,0.206171449103483,"W4-S3-N1-E1-M2"
5,2,7.2257210384853,"W4-S3-N1-E1-M2"
5,3,2.1570953613881,"W4-S3-N1-E1-M2"
5,4,1.95014138205159,"W4-S3-N1-E1-M2"
5,5,2.56242203668588,"W4-S3-N1-E1-M2"
5,6,0.863801192946266,"W4-S3-N1-E1-M2"
6,1,0.162830779427704,"W4-S3-N1-E1-M2"
6,2,6.94010083139336,"W4-S3-N1-E1-M2"
6,3,2.17033678839151,"W4-S3-N1-E1-M2"
6,4,1.86928595885498,"W4-S3-N1-E1-M2"
6,5,1.33239002196983,"W4-S3-N1-E1-M2"
6,6,2.09630486723036,"W4-S3-N1-E1-M2"
1,1,2.31927103158056,"W1-S1-N2-E1-M2"
1,2,2.5020583258035,"W1-S1-N2-E1-M2"
1,3,0.427040806542574,"W1-S1-N2-E1-M2"
1,4,0.245683414185079,"W1-S1-N2-E1-M2"
1,5,0.141030577539662,"W1-S1-N2-E1-M2"
1,6,0.0813977427199337,"W1-S1-N2-E1-M2"
2,1,0.986626622203671,"W1-S1-N2-E1-M2"
2,2,53.0443245620537,"W1-S1-N2-E1-M2"
2,3,16.1692623076832,"W1-S1-N2-E1-M2"
2,4,9.88558709401532,"W1-S1-N2-E1-M2"
2,5,4.18725406849341,"W1-S1-N2-E1-M2"
2,6,2.61266949013895,"W1-S1-N2-E1-M2"
3,1,0.559478834241126,"W1-S1-N2-E1-M2"
3,2,53.5939632634973,"W1-S1-N2-E1-M2"
3,3,18.5631548393669,"W1-S1-N2-E1-M2"
3,4,10.2739315041413,"W1-S1-N2-E1-M2"
3,5,4.18827836605198,"W1-S1-N2-E1-M2"
3,6,2.65069033295201,"W1-S1-N2-E1-M2"
4,1,0.418061344809256,"W1-S1-N2-E1-M2"
4,2,45.7731164881503,"W1-S1-N2-E1-M2"
4,3,14.2449773972476,"W1-S1-N2-E1-M2"
4,4,11.2242387397928,"W1-S1-N2-E1-M2"
4,5,5.13355572606552,"W1-S1-N2-E1-M2"
4,6,3.2402146579265,"W1-S1-N2-E1-M2"
5,1,0.41179696408487,"W1-S1-N2-E1-M2"
5,2,34.56675801066,"W1-S1-N2-E1-M2"
5,3,10.2419466073046,"W1-S1-N2-E1-M2"
5,4,8.94055929592208,"W1-S1-N2-E1-M2"
5,5,7.27265412659019,"W1-S1-N2-E1-M2"
5,6,3.88332310173428,"W1-S1-N2-E1-M2"
6,1,0.363373677304718,"W1-S1-N2-E1-M2"
6,2,33.4486872061494,"W1-S1-N2-E1-M2"
6,3,10.0545700657366,"W1-S1-N2-E1-M2"
6,4,8.7309589667183,"W1-S1-N2-E1-M2"
6,5,6.00087586888274,"W1-S1-N2-E1-M2"
6,6,5.13128505926579,"W1-S1-N2-E1-M2"
1,1,2.31953769599139,"W2-S1-N2-E1-M2"
1,2,2.54443017229923,"W2-S1-N2-E1-M2"
1,3,0.439490598179998,"W2-S1-N2-E1-M2"
1,4,0.245683414185079,"W2-S1-N2-E1-M2"
1,5,0.141030577539662,"W2-S1-N2-E1-M2"
1,6,0.0813977427199337,"W2-S1-N2-E1-M2"
2,1,1.0456909062676,"W2-S1-N2-E1-M2"
2,2,69.4147075365704,"W2-S1-N2-E1-M2"
2,3,21.1775609308681,"W2-S1-N2-E1-M2"
2,4,9.88558709401532,"W2-S1-N2-E1-M2"
2,5,4.18725406849341,"W2-S1-N2-E1-M2"
2,6,2.61266949013895,"W2-S1-N2-E1-M2"
3,1,0.610456820400713,"W2-S1-N2-E1-M2"
3,2,69.2520134055088,"W2-S1-N2-E1-M2"
3,3,23.5814994736558,"W2-S1-N2-E1-M2"
3,4,10.2739315041413,"W2-S1-N2-E1-M2"
3,5,4.18827836605198,"W2-S1-N2-E1-M2"
3,6,2.65069033295201,"W2-S1-N2-E1-M2"
4,1,0.418061344809256,"W2-S1-N2-E1-M2"
4,2,45.7731164881503,"W2-S1-N2-E1-M2"
4,3,14.2449773972476,"W2-S1-N2-E1-M2"
4,4,11.2242387397928,"W2-S1-N2-E1-M2"
4,5,5.13355572606552,"W2-S1-N2-E1-M2"
4,6,3.2402146579265,"W2-S1-N2-E1-M2"
5,1,0.41179696408487,"W2-S1-N2-E1-M2"
5,2,34.56675801066,"W2-S1-N2-E1-M2"
5,3,10.2419466073046,"W2-S1-N2-E1-M2"
5,4,8.94055929592208,"W2-S1-N2-E1-M2"
5,5,7.27265412659019,"W2-S1-N2-E1-M2"
5,6,3.88332310173428,"W2-S1-N2-E1-M2"
6,1,0.363373677304718,"W2-S1-N2-E1-M2"
6,2,33.4486872061494,"W2-S1-N2-E1-M2"
6,3,10.0545700657366,"W2-S1-N2-E1-M2"
6,4,8.7309589667183,"W2-S1-N2-E1-M2"
6,5,6.00087586888274,"W2-S1-N2-E1-M2"
6,6,5.13128505926579,"W2-S1-N2-E1-M2"
1,1,2.31935100355098,"W3-S1-N2-E1-M2"
1,2,2.51681505838086,"W3-S1-N2-E1-M2"
1,3,0.431356436815394,"W3-S1-N2-E1-M2"
1,4,0.245683414185079,"W3-S1-N2-E1-M2"
1,5,0.141030577539662,"W3-S1-N2-E1-M2"
1,6,0.0813977427199337,"W3-S1-N2-E1-M2"
2,1,1.00610398217518,"W3-S1-N2-E1-M2"
2,2,60.36966400677,"W3-S1-N2-E1-M2"
2,3,18.411106596803,"W3-S1-N2-E1-M2"
2,4,9.88558709401532,"W3-S1-N2-E1-M2"
2,5,4.18725406849341,"W3-S1-N2-E1-M2"
2,6,2.61266949013895,"W3-S1-N2-E1-M2"
3,1,0.576262358277669,"W3-S1-N2-E1-M2"
3,2,60.5868244710553,"W3-S1-N2-E1-M2"
3,3,21.2083816382402,"W3-S1-N2-E1-M2"
3,4,10.2739315041413,"W3-S1-N2-E1-M2"
3,5,4.18827836605198,"W3-S1-N2-E1-M2"
3,6,2.65069033295201,"W3-S1-N2-E1-M2"
4,1,0.418061344809256,"W3-S1-N2-E1-M2"
4,2,45.7731164881503,"W3-S1-N2-E1-M2"
4,3,14.2449773972476,"W3-S1-N2-E1-M2"
4,4,11.2242387397928,"W3-S1-N2-E1-M2"
4,5,5.13355572606552,"W3-S1-N2-E1-M2"
4,6,3.2402146579265,"W3-S1-N2-E1-M2"
5,1,0.41179696408487,"W3-S1-N2-E1-M2"
5,2,34.56675801066,"W3-S1-N2-E1-M2"
5,3,10.2419466073046,"W3-S1-N2-E1-M2"
5,4,8.94055929592208,"W3-S1-N2-E1-M2"
5,5,7.27265412659019,"W3-S1-N2-E1-M2"
5,6,3.88332310173428,"W3-S1-N2-E1-M2"
6,1,0.363373677304718,"W3-S1-N2-E1-M2"
6,2,33.4486872061494,"W3-S1-N2-E1-M2"
6,3,10.0545700657366,"W3-S1-N2-E1-M2"
6,4,8.7309589667183,"W3-S1-N2-E1-M2"
